question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
132272,70715,2020,Georgia,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. President,0,,10/8/2020,10/9/2020,11/3/2020,,FALSE,,,FALSE,FALSE,10/10/2020 8:45,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,general,6221,Biden,13256,Joseph R. Biden Jr.,DEM,47
132272,70715,2020,Georgia,383,Public Policy Polling,,,Public Policy Polling,263,Public Policy Polling,B,528,v,v,IVR/Text,U.S. President,0,,10/8/2020,10/9/2020,11/3/2020,,FALSE,,,FALSE,FALSE,10/10/2020 8:45,,https://www.publicpolicypolling.com/polls/georgia-senate-races-look-runoff-bound/,general,6221,Trump,13254,Donald Trump,REP,46
132273,70714,2020,,1610,USC Dornsife/Los Angeles Times,,,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5115,rv,rv,Online,U.S. President,0,,9/26/2020,10/9/2020,11/3/2020,,FALSE,,TRUE,FALSE,FALSE,10/10/2020 8:46,traditional voting question (RV),https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,52.43
132273,70714,2020,,1610,USC Dornsife/Los Angeles Times,,,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5115,rv,rv,Online,U.S. President,0,,9/26/2020,10/9/2020,11/3/2020,,FALSE,,TRUE,FALSE,FALSE,10/10/2020 8:46,traditional voting question (RV),https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,41.34
132274,70714,2020,,1610,USC Dornsife/Los Angeles Times,,,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5206,lv,lv,Online,U.S. President,0,,9/26/2020,10/9/2020,11/3/2020,,FALSE,,TRUE,FALSE,FALSE,10/10/2020 8:46,traditional voting question,https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,53.58
132274,70714,2020,,1610,USC Dornsife/Los Angeles Times,,,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5206,lv,lv,Online,U.S. President,0,,9/26/2020,10/9/2020,11/3/2020,,FALSE,,TRUE,FALSE,FALSE,10/10/2020 8:46,traditional voting question,https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,41.41
132275,70714,2020,,1610,USC Dornsife/Los Angeles Times,,,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5206,lv,lv,Online,U.S. President,0,,9/26/2020,10/9/2020,11/3/2020,,FALSE,,TRUE,FALSE,FALSE,10/10/2020 8:46,probabilistic voting question,https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,53.13
132275,70714,2020,,1610,USC Dornsife/Los Angeles Times,,,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5206,lv,lv,Online,U.S. President,0,,9/26/2020,10/9/2020,11/3/2020,,FALSE,,TRUE,FALSE,FALSE,10/10/2020 8:46,probabilistic voting question,https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,41.9
132202,70683,2020,Texas,383,Public Policy Polling,1328,Texas Democratic Party,Public Policy Polling,263,Public Policy Polling,B,721,v,v,,U.S. President,0,,10/7/2020,10/8/2020,11/3/2020,,TRUE,DEM,,FALSE,FALSE,10/8/2020 16:28,,https://www.texasdemocrats.org/wp-content/uploads/2020/10/TexasResults1.pdf,general,6254,Biden,13256,Joseph R. Biden Jr.,DEM,50
132202,70683,2020,Texas,383,Public Policy Polling,1328,Texas Democratic Party,Public Policy Polling,263,Public Policy Polling,B,721,v,v,,U.S. President,0,,10/7/2020,10/8/2020,11/3/2020,,TRUE,DEM,,FALSE,FALSE,10/8/2020 16:28,,https://www.texasdemocrats.org/wp-content/uploads/2020/10/TexasResults1.pdf,general,6254,Trump,13254,Donald Trump,REP,49
132253,70704,2020,Arizona,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,C-,1087,lv,lv,Automated Phone,U.S. President,0,,10/6/2020,10/8/2020,11/3/2020,,FALSE,,,FALSE,FALSE,10/9/2020 10:45,,https://drive.google.com/file/d/1qUONKYDJqkz2Nk1F3BKTR_NW-wOqiZ9l/view,general,6214,Biden,13256,Joseph R. Biden Jr.,DEM,43.8
132253,70704,2020,Arizona,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,C-,1087,lv,lv,Automated Phone,U.S. President,0,,10/6/2020,10/8/2020,11/3/2020,,FALSE,,,FALSE,FALSE,10/9/2020 10:45,,https://drive.google.com/file/d/1qUONKYDJqkz2Nk1F3BKTR_NW-wOqiZ9l/view,general,6214,Trump,13254,Donald Trump,REP,47.8
132253,70704,2020,Arizona,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,C-,1087,lv,lv,Automated Phone,U.S. President,0,,10/6/2020,10/8/2020,11/3/2020,,FALSE,,,FALSE,FALSE,10/9/2020 10:45,,https://drive.google.com/file/d/1qUONKYDJqkz2Nk1F3BKTR_NW-wOqiZ9l/view,general,6214,Jorgensen,14611,Jo Jorgensen,LIB,2.2
132256,70705,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1331,a,a,Online,U.S. President,0,,10/6/2020,10/8/2020,11/3/2020,,FALSE,,,FALSE,FALSE,10/9/2020 11:33,,https://infogram.com/reutersipsos-poll-oct-8-1hdw2jnmxjqd4l0,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,45
132256,70705,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1331,a,a,Online,U.S. President,0,,10/6/2020,10/8/2020,11/3/2020,,FALSE,,,FALSE,FALSE,10/9/2020 11:33,,https://infogram.com/reutersipsos-poll-oct-8-1hdw2jnmxjqd4l0,general,6210,Trump,13254,Donald Trump,REP,38
